"","pop","sex","ind","block","new_ID","pop_yr","tail","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","x19","y19","x20","y20","x21","y21","x22","y22","x23","y23","x24","y24","x25","y25","x26","y26","x27","y27","x28","y28","x29","y29","x30","y30","x31","y31","x32","y32","x33","y33","x34","y34","x35","y35","x36","y36","x37","y37","x38","y38","x39","y39","x40","y40","x41","y41","x42","y42","x43","y43","x44","y44","x45","y45","x46","y46","x47","y47","x48","y48","CSize","up_diff_m","up_diff_f","up_reg","dn_diff_m","dn_diff_f","dn_reg","ds_proj"
"1","fvw","M","0026","1","fvw_M_1_0026","fvw12","L",-0.048216585,-0.114834915,-0.223328285,-0.02847084,-0.23801837,0.019706535,-0.13491868,0.095901015,0.12175479,0.061965,0.19346558,0.048129345,0.00476739,-0.060166045,-0.002335415,-0.018437445,0.0903348,-0.000144465,0.08923414,0.016629865,0.146516,0.02017866,0.167469275,-0.01176474,0.19433917,-0.020878625,0.17925934,-0.07004403,0.144433905,-0.10095937,0.09883585,-0.119424355,0.049268735,-0.124273225,-0.00059635,-0.12131149,-0.09695844,-0.10572921,-0.14375913,-0.091564545,-0.188224125,-0.066300025,-0.234721475,-0.005864225,-0.221163205,0.053616465,-0.18958468,0.07675403,-0.10330043,0.10033307,-0.054865475,0.10108118,-0.00484794,0.0963428,0.056495895,0.086033905,0.15359884,0.03641802,0.193757255,0.02499931,-0.026128235,-0.08161382,0.05429357,-0.03976663,0.10985286,-0.02342035,-0.152264125,-0.02077474,-0.078334635,-0.016827095,0.041373625,-0.01140877,0.138972525,0.002482095,-0.175548955,0.029119975,-0.118765345,0.03217582,-0.05403511,0.0312158,0.017793265,0.0279505,0.113865355,0.017845015,-0.08636067,0.07985813,-0.036076565,0.069947925,0.02095765,0.058391965,0.077439495,0.044010075,0.155582485,0.06308591,-0.00130955,-0.040193435,3.971,-0.00122244332949871,-0.000550945715737074,-0.000101950829083492,-0.000806874466823486,-0.00105344948652921,-0.000136830440303918,-0.341230241634165
"2","fvw","M","0056","1","fvw_M_1_0056","fvw12","L",-0.05238902,-0.11045088,-0.22371191,-0.03267039,-0.24254719,0.01620025,-0.13954188,0.09411356,0.11928243,0.05875033,0.19147845,0.04575277,0.00747567,-0.0548869,-1.559e-05,-0.01699904,0.09831059,-0.00020394,0.09660551,0.01571785,0.14899283,0.01705217,0.17027423,-0.00993835,0.19666623,-0.01995189,0.17741903,-0.06953727,0.14232951,-0.09984252,0.09669943,-0.11663685,0.0477133,-0.12063678,-0.00161101,-0.11752174,-0.09720607,-0.10208474,-0.14339791,-0.08847075,-0.18811764,-0.06526898,-0.23917061,-0.00713059,-0.22120823,0.05363673,-0.18932539,0.0754751,-0.1040979,0.09993671,-0.05593867,0.10077432,-0.00628773,0.09524315,0.05434708,0.08363153,0.15111152,0.03590983,0.19340664,0.02133171,-0.02721955,-0.07845235,0.0548722,-0.03686187,0.11186708,-0.02153063,-0.15170935,-0.02132208,-0.07661101,-0.01463203,0.04474686,-0.00985185,0.1441341,0.00135065,-0.1775357,0.02683765,-0.11971145,0.03107021,-0.0536546,0.03128058,0.01970654,0.02855402,0.11755714,0.016299,-0.08942893,0.07834423,-0.03779003,0.06874488,0.02071975,0.05712307,0.07847361,0.04190619,0.15232186,0.05666185,0.00171578,-0.03681595,3.734,-0.00223277875416016,-0.00146246295265914,-0.000228519496045239,-0.000289248327160476,-0.000560215624020633,-7.45985745622919e-05,-0.446693679650434
"3","fvw","M","0078","1","fvw_M_1_0078","fvw12","L",-0.052925855,-0.110084795,-0.2259368,-0.026731025,-0.241486445,0.01869961,-0.140190745,0.092678005,0.119473405,0.0591898,0.19340152,0.047959285,0.006404475,-0.05348424,0.0033084,-0.01751037,0.09432576,0.000532165,0.093333145,0.015502875,0.15009945,0.018480855,0.173674205,-0.010169385,0.199274675,-0.01916377,0.17844161,-0.070592045,0.142581875,-0.100103795,0.097102685,-0.117236805,0.048162785,-0.122006985,-0.00110654,-0.118689,-0.09592686,-0.1003247,-0.141463045,-0.085909905,-0.1857462,-0.063399595,-0.237355635,-0.00712808,-0.22146281,0.054965875,-0.18911134,0.077235155,-0.102958045,0.096671005,-0.05528861,0.09590509,-0.00603301,0.090402735,0.0546391,0.080467355,0.15151218,0.035094955,0.19545862,0.02451324,-0.028300665,-0.07668055,0.055982585,-0.035625395,0.114156055,-0.021214775,-0.15292059,-0.019046055,-0.077729825,-0.015092945,0.04398745,-0.010885945,0.142678685,0.002353955,-0.18094792,0.02862624,-0.122869745,0.028780015,-0.05663266,0.027594105,0.016934375,0.025408855,0.11512291,0.01659287,-0.08987514,0.07647438,-0.038233485,0.066102025,0.020436125,0.054534105,0.07877705,0.041035235,0.15393084,0.06132205,0.001302025,-0.03604167,4.32675,-0.00229673415442666,-0.00153372171665974,-0.000241646396676629,-0.00017875258574387,-0.000455700485307108,-6.75952189917136e-05,-0.460204058527839
"4","fvw","M","0104","1","fvw_M_1_0104","fvw12","L",-0.0442749,-0.11386175,-0.22104286,-0.02858475,-0.23987427,0.0149943,-0.14510692,0.09467982,0.12341042,0.05616193,0.19200461,0.04716682,0.01018586,-0.05645066,0.00328262,-0.01615375,0.09007273,-0.00043406,0.0884911,0.01801054,0.15164622,0.01870138,0.16858335,-0.01171301,0.19436358,-0.02177929,0.17750476,-0.07003978,0.14348164,-0.10180266,0.09791948,-0.12090447,0.04815599,-0.12504806,-0.00144948,-0.12086538,-0.09676555,-0.10246198,-0.14231595,-0.0870808,-0.18576933,-0.06266174,-0.23485406,-0.00575192,-0.22264245,0.05556149,-0.19032889,0.07880301,-0.10328093,0.10008327,-0.05511474,0.09946276,-0.00553783,0.09364686,0.0551868,0.08253107,0.1516202,0.03447216,0.19274629,0.02548972,-0.02196445,-0.080982,0.05662091,-0.03792906,0.11198021,-0.02325209,-0.14974566,-0.02047132,-0.07637508,-0.01488842,0.04229875,-0.01004742,0.13911751,0.00082878,-0.17962451,0.03003118,-0.12145935,0.03233244,-0.05530286,0.03172855,0.01812321,0.02871172,0.11623616,0.01799774,-0.09451652,0.07941042,-0.04143009,0.07001992,0.01860909,0.05789335,0.07794475,0.04254539,0.15518555,0.05913905,0.0040049,-0.03723932,4.0005,-0.00172164730649413,-0.00105089456574373,-0.000182774562642606,-0.000352183836972235,-0.000634050585185817,-7.44879008777905e-05,-0.395995301488237
"5","fvw","M","0330","1","fvw_M_1_0330","fvw12","L",-0.04607735,-0.11353018,-0.22149448,-0.03142402,-0.24064113,0.016591095,-0.140088475,0.09606235,0.11841204,0.061622205,0.192084835,0.048810175,0.012136855,-0.057617665,0.00613826,-0.01728782,0.088884945,-0.000581365,0.087036165,0.0157307,0.14932532,0.01813502,0.16944006,-0.01225268,0.192412545,-0.023582585,0.17769679,-0.07041162,0.14358278,-0.102208425,0.097484795,-0.12004123,0.04782565,-0.12416921,-0.001836445,-0.12036716,-0.097537175,-0.102788685,-0.14341625,-0.087593955,-0.18738476,-0.06326767,-0.23711771,-0.005314015,-0.221286805,0.05498522,-0.189736405,0.07813427,-0.10337333,0.10135791,-0.05498941,0.101644845,-0.00509597,0.096546015,0.05602089,0.085761225,0.152665635,0.035963765,0.192902395,0.023849605,-0.021693125,-0.081991425,0.05711285,-0.03911333,0.1126212,-0.023748325,-0.14985519,-0.02211223,-0.0763955,-0.016724805,0.04244753,-0.011587635,0.138660665,0.00108951,-0.17917632,0.02905089,-0.121449165,0.0322903,-0.055658585,0.03206641,0.017334505,0.02813882,0.114888295,0.016745235,-0.090479855,0.079654375,-0.038719665,0.069658595,0.019885995,0.057378435,0.077942475,0.042425995,0.15271583,0.06255264,0.005843805,-0.03852957,3.94625,-0.00126007716894659,-0.00061579876323532,-0.000146733716503883,-0.000640463512797341,-0.000895363159746324,-0.000102015862427936,-0.352200864191121
"6","fvw","M","0514","1","fvw_M_1_0514","fvw12","L",-0.04324543,-0.113339515,-0.22297213,-0.03004362,-0.241646485,0.01614233,-0.14137481,0.09530675,0.119882905,0.05903493,0.19445417,0.04526222,0.01050984,-0.0565212,0.003580505,-0.01716638,0.08680859,-0.00015006,0.085361775,0.01627917,0.14779779,0.018008315,0.171453235,-0.011772795,0.195499815,-0.021501965,0.17867145,-0.070221415,0.143840315,-0.100856855,0.0982661,-0.11871421,0.048945925,-0.123489815,-0.00062689,-0.12006018,-0.096023415,-0.10187771,-0.141795255,-0.087062015,-0.186024285,-0.063579655,-0.23757307,-0.00668687,-0.22077526,0.05509209,-0.188762695,0.07765662,-0.102493395,0.101184925,-0.054142165,0.10126207,-0.00442043,0.095363495,0.05633511,0.083612345,0.152253315,0.033875065,0.194817785,0.02145014,-0.02050378,-0.08045418,0.058322015,-0.03668797,0.11410725,-0.021967505,-0.151490565,-0.02033152,-0.077840455,-0.015140815,0.041166475,-0.010827675,0.13802404,0.00034618,-0.179508205,0.028249155,-0.12199395,0.03248785,-0.05634298,0.03178729,0.016465765,0.02805914,0.11379728,0.016706245,-0.09263741,0.078921035,-0.040766095,0.069561445,0.017906855,0.057648145,0.075935195,0.042667685,0.15500525,0.060391375,0.003750395,-0.03790205,4.4235,-0.00153572857791272,-0.000884739288936177,-0.000180795603307513,-0.000457164157780738,-0.000712938679928537,-8.51617258648651e-05,-0.371156825748145
"7","fvw","M","0553","1","fvw_M_1_0553","fvw12","L",-0.04722219,-0.109120675,-0.22357421,-0.030470645,-0.242293605,0.01854953,-0.146237395,0.09163002,0.1242944,0.05923189,0.192715665,0.047802215,0.004800835,-0.056247275,0.000372935,-0.018058275,0.09287294,-0.000310425,0.091574425,0.01472604,0.151629275,0.01828505,0.17048355,-0.01334074,0.196987995,-0.024613485,0.17861432,-0.07012044,0.142663715,-0.0995771,0.096978485,-0.11556399,0.04824968,-0.1190425,-0.00081192,-0.1156857,-0.095920095,-0.09989039,-0.14174692,-0.08642203,-0.18624212,-0.063855775,-0.238222455,-0.00716547,-0.22096021,0.055003175,-0.18862707,0.076645435,-0.1029322,0.097980615,-0.05513583,0.098272175,-0.00568983,0.09350768,0.055092045,0.083714485,0.152262085,0.03711866,0.19419249,0.022725395,-0.024408945,-0.076740705,0.056638215,-0.036857615,0.112667285,-0.02323496,-0.1517919,-0.02196012,-0.077457385,-0.016849815,0.042662475,-0.010967555,0.140971925,0.00054193,-0.1784668,0.02887728,-0.120274885,0.03216699,-0.05392247,0.031361385,0.01963758,0.02721268,0.118062385,0.016367655,-0.094220885,0.07704185,-0.04115163,0.067466795,0.01905144,0.05613659,0.078739275,0.04206833,0.155931335,0.05955531,-0.0008358,-0.03789348,4.21825,-0.00235246295215084,-0.00158548115003624,-0.000237591539037459,-6.81675002537212e-05,-0.000351556986247382,-3.93355675210536e-05,-0.457878167039651
"8","fvw","M","1098","1","fvw_M_1_1098","fvw12","L",-0.04750083,-0.112889555,-0.220814095,-0.032000155,-0.240932715,0.01524446,-0.140051395,0.09355704,0.12446491,0.05769112,0.19220475,0.046191395,0.004798525,-0.058948205,0.000772495,-0.016298205,0.095854545,0.000823195,0.09427308,0.016590935,0.146264915,0.018869075,0.16985011,-0.01048396,0.194614775,-0.02158269,0.17801406,-0.070987335,0.143195355,-0.101827585,0.097223525,-0.11881147,0.04800207,-0.12368582,-0.001464735,-0.12044114,-0.096496945,-0.10169713,-0.14198239,-0.086663775,-0.186013285,-0.063357875,-0.23654092,-0.006557855,-0.222939415,0.05590532,-0.189854055,0.07914789,-0.10292533,0.09738689,-0.05497181,0.09698976,-0.00538121,0.0924803,0.055499375,0.083196855,0.15227159,0.035254445,0.193022535,0.023195975,-0.024082005,-0.08071922,0.055726075,-0.037388395,0.11177053,-0.021675515,-0.149706445,-0.021225745,-0.075634235,-0.014967095,0.044177925,-0.010418405,0.14198467,0.00177482,-0.179914335,0.03249727,-0.12215367,0.03382146,-0.05655936,0.032130185,0.01628261,0.029340245,0.11358595,0.01730639,-0.09035292,0.0780114,-0.039054215,0.06915421,0.019107855,0.05857007,0.07651461,0.04404362,0.15708241,0.061793555,-0.001232925,-0.03834075,4.2535,-0.00188257623932113,-0.00121627613501657,-0.000193250238380462,-0.000370584405364975,-0.000626252897610757,-7.78571040207578e-05,-0.415982394678379
"9","fvw","M","1208","1","fvw_M_1_1208","fvw12","L",-0.05171164,-0.113984195,-0.22406856,-0.02692694,-0.239016615,0.02321872,-0.140835785,0.092055695,0.119728105,0.05985965,0.19075326,0.049740425,0.00253944,-0.05900739,-0.00324041,-0.01692004,0.091831825,0.00097674,0.09107183,0.01780041,0.153653425,0.01874917,0.171236845,-0.01037099,0.19725435,-0.02135989,0.179134355,-0.07114833,0.14320819,-0.10091219,0.097204325,-0.117382375,0.0482288,-0.1233582,-0.00135934,-0.121380705,-0.096997675,-0.104376875,-0.14288184,-0.089306735,-0.186542655,-0.06462456,-0.235424095,-0.00692716,-0.221305835,0.05318852,-0.189244025,0.075183285,-0.10359157,0.09739536,-0.055646925,0.09787886,-0.00606906,0.093005995,0.054808885,0.08281265,0.15196649,0.035930885,0.19281536,0.027181075,-0.02811269,-0.08091328,0.05477584,-0.03882075,0.112191055,-0.02338493,-0.152677325,-0.02050637,-0.07844722,-0.015969625,0.041580455,-0.009867165,0.140016425,0.00248381,-0.175594525,0.0316999,-0.11764194,0.033968235,-0.05160851,0.03249138,0.021693335,0.028997245,0.119563835,0.01816625,-0.08967807,0.076145605,-0.03708471,0.06699117,0.022524795,0.056096565,0.081586095,0.04218244,0.15272656,0.062046285,-0.00331288,-0.03879763,4.15975,-0.00197902519096562,-0.00117207584484555,-0.000158712219312256,-0.000444838894325446,-0.00073610933282246,-0.000104392715450254,-0.412732791781065
"10","fvw","M","1263","1","fvw_M_1_1263","fvw12","L",-0.04706614,-0.11316876,-0.22195424,-0.0307847,-0.23803402,0.02082539,-0.14376388,0.09701702,0.11994355,0.05764763,0.18942851,0.05008777,0.00926086,-0.05701241,0.00163395,-0.01853905,0.09287031,-0.00027478,0.09111371,0.0156543,0.1527056,0.02006128,0.16806412,-0.0109197,0.1950873,-0.02263234,0.17687009,-0.06966672,0.14274655,-0.1013585,0.09721505,-0.12053196,0.04742622,-0.12395823,-0.00219794,-0.1197546,-0.09814063,-0.10360059,-0.14454745,-0.08946337,-0.18883463,-0.06483571,-0.23530025,-0.00506,-0.22199411,0.0538771,-0.1914247,0.07850137,-0.10460003,0.10249421,-0.05608238,0.10183885,-0.00634493,0.095421,0.05443365,0.08349594,0.15128449,0.03525606,0.19131059,0.02590152,-0.02440885,-0.0803401,0.05573829,-0.03900752,0.11126547,-0.02359558,-0.15044698,-0.02229631,-0.07654642,-0.01791992,0.04303863,-0.01197918,0.14009834,0.00201964,-0.17455101,0.02867733,-0.11692437,0.03112716,-0.05124972,0.03039901,0.02152942,0.02640381,0.11901886,0.01812801,-0.09252091,0.0799671,-0.0397236,0.06943339,0.02012734,0.05709782,0.07944218,0.04206229,0.15217572,0.06202861,0.00282838,-0.03872359,3.695,-0.00170323139826404,-0.000974227258613593,-0.000160399089458348,-0.00052629306090137,-0.000798932870558017,-9.84147318189568e-05,-0.39183106697196
"11","fvw","M","1300","1","fvw_M_1_1300","fvw12","L",-0.050731105,-0.11517442,-0.222300825,-0.030959385,-0.23767928,0.01972838,-0.13852413,0.09652886,0.116053945,0.06320824,0.18806973,0.050530035,0.014491395,-0.05590774,0.00706824,-0.017342395,0.093277965,-0.0005417,0.091337815,0.0178521,0.14568589,0.01974419,0.166145075,-0.0118635,0.195067885,-0.02523844,0.178616765,-0.072518605,0.14472048,-0.105246435,0.09810096,-0.124260275,0.04768427,-0.12753196,-0.002317185,-0.123060325,-0.09857038,-0.105071905,-0.144891775,-0.089833035,-0.188962475,-0.06463974,-0.235934985,-0.004871895,-0.219891415,0.052458835,-0.189445285,0.076109405,-0.1037469,0.102405085,-0.054877965,0.10344093,-0.004524365,0.09824466,0.057019365,0.08678739,0.152990045,0.033506435,0.19033837,0.02602103,-0.025862665,-0.08288158,0.053967795,-0.040385085,0.109686675,-0.02424327,-0.149957245,-0.022401635,-0.076162865,-0.016316465,0.04348415,-0.01165402,0.13964808,0.00283801,-0.174666605,0.02800832,-0.118085225,0.0312077,-0.0535235,0.031589775,0.018173065,0.029148845,0.113917005,0.01858971,-0.08954735,0.08071,-0.038587405,0.071378975,0.01908702,0.0597216,0.076045245,0.044673075,0.149959225,0.06507412,0.00815449,-0.03756187,3.65225,-0.000820865536684464,-0.000234881182198926,-7.76891037465547e-05,-0.000890614948268133,-0.00112810090813985,-0.000132340762342304,-0.325258563945994
"12","fvw","M","1342","1","fvw_M_1_1342","fvw12","L",-0.04640779,-0.116073915,-0.223519525,-0.02735621,-0.238241785,0.022971885,-0.137905395,0.095637045,0.115632185,0.06336109,0.190945075,0.048360085,0.00887061,-0.05984056,-0.00125655,-0.0184433,0.090590155,0.001161595,0.08875157,0.017161425,0.149160455,0.020026395,0.16879173,-0.01121433,0.194036385,-0.01989916,0.1785102,-0.07020591,0.14448977,-0.102162535,0.098760985,-0.121358205,0.04880984,-0.126506175,-0.001219445,-0.12312503,-0.09730149,-0.105074135,-0.143306055,-0.08935546,-0.187034705,-0.064198245,-0.235369165,-0.005736325,-0.220899655,0.053603745,-0.189430545,0.076647065,-0.103359565,0.10104661,-0.054833395,0.10193747,-0.00475586,0.09709529,0.05656161,0.086294795,0.15307927,0.035398665,0.192084795,0.023174445,-0.02387907,-0.08324474,0.0562754,-0.041080565,0.111849295,-0.024894005,-0.15207714,-0.022101335,-0.078182215,-0.01814557,0.041432815,-0.011284915,0.13865683,0.003616885,-0.17569875,0.030471635,-0.11853563,0.03268054,-0.053387105,0.031861255,0.01888307,0.02832567,0.115500245,0.01843738,-0.088597295,0.079421575,-0.03736404,0.069481415,0.020646045,0.0573664,0.078125965,0.04264274,0.15084068,0.063262075,0.001277195,-0.040144555,3.99325,-0.00113399223678934,-0.000449650731658108,-9.98244538428336e-05,-0.000825021940843332,-0.00107534611734098,-0.000141839344029844,-0.334989072642497
"13","fvw","M","1459","1","fvw_M_1_1459","fvw12","L",-0.04896094,-0.11375241,-0.22125753,-0.03379182,-0.24073052,0.0186579,-0.13751024,0.09657504,0.12127808,0.05926043,0.19101289,0.04689473,0.01539519,-0.05398476,-7.111e-05,-0.01603053,0.08999043,0.00055481,0.08896191,0.01539579,0.1461923,0.01818908,0.16916975,-0.01138527,0.19716611,-0.02189396,0.17848541,-0.07028887,0.14380717,-0.10131781,0.09796708,-0.11873176,0.04853342,-0.12323762,-0.00121525,-0.12032353,-0.09749605,-0.10451396,-0.14395658,-0.08991877,-0.18846653,-0.0653274,-0.23748835,-0.00587614,-0.2215026,0.05457406,-0.18968712,0.07736117,-0.10343148,0.10176681,-0.05483584,0.1023625,-0.00478576,0.09684486,0.05634389,0.08522054,0.15231773,0.03400652,0.19319995,0.02244493,-0.02358683,-0.08163787,0.05598473,-0.03805749,0.11222981,-0.02286471,-0.15070233,-0.02235189,-0.07707138,-0.0156003,0.04179031,-0.00929928,0.13952304,0.00141472,-0.17772771,0.0290394,-0.12060444,0.033156,-0.05535482,0.03281294,0.01699404,0.02845155,0.11371683,0.01635607,-0.0894515,0.0777328,-0.03843781,0.06837221,0.01922788,0.05701571,0.07616557,0.04208242,0.153844,0.06017626,0.00503521,-0.03653309,3.7635,-0.00138228899927991,-0.000744418709408902,-0.000160291395742305,-0.000632693910746845,-0.000872825047303216,-0.000106031501942412,-0.35803433494679
"14","fvw","M","1460","1","fvw_M_1_1460","fvw12","L",-0.04831655,-0.1185693,-0.21928381,-0.03148208,-0.23532764,0.02096433,-0.14047853,0.09764514,0.12247099,0.05958639,0.19231874,0.04725038,0.00958902,-0.05647264,-0.00174798,-0.01761761,0.0936639,0.00131369,0.09172428,0.01664497,0.14600128,0.0186769,0.16617082,-0.01128722,0.19427343,-0.02276932,0.17648284,-0.06918964,0.14311666,-0.10089963,0.09777443,-0.11923948,0.04833984,-0.1252812,-0.00169444,-0.12399355,-0.09875685,-0.10937181,-0.14574076,-0.09353716,-0.18897581,-0.06596343,-0.23240774,-0.00502626,-0.22135791,0.05254624,-0.19125448,0.07759767,-0.10444175,0.10296794,-0.05559881,0.10283346,-0.00555683,0.09659842,0.05555425,0.08472016,0.15326858,0.03651645,0.19295867,0.02432728,-0.02702524,-0.08369005,0.05307275,-0.03952613,0.10910304,-0.02360651,-0.14907127,-0.02136297,-0.07557954,-0.01607857,0.0433789,-0.0110359,0.140317,0.00326933,-0.17287385,0.03032256,-0.11650704,0.03304861,-0.05226628,0.03184959,0.01902005,0.02841291,0.11422009,0.01745486,-0.09049735,0.08234386,-0.03940704,0.07157054,0.01862478,0.059156,0.07621231,0.04441757,0.15570393,0.0623719,0.00080692,-0.03840668,3.494,-0.00125763498261719,-0.000640853624241947,-9.38959559031902e-05,-0.000798344495803384,-0.00103062046880617,-0.000131005420387971,-0.343672035423787
"15","fvw","M","1510","1","fvw_M_1_1510","fvw12","L",-0.050592345,-0.11695547,-0.21976174,-0.030860335,-0.236264975,0.02301359,-0.141390895,0.09620994,0.118587925,0.062036485,0.19175629,0.048015795,0.00640418,-0.06042279,0.00337574,-0.017423045,0.09229008,0.00071371,0.09089975,0.01637611,0.148875125,0.02018884,0.16714704,-0.01206786,0.195443745,-0.021606885,0.17767675,-0.069850585,0.142477985,-0.099824395,0.097239845,-0.11826784,0.047997225,-0.12511316,-0.00207299,-0.123518905,-0.09870931,-0.107248635,-0.145294315,-0.091592465,-0.188732005,-0.06495455,-0.23321931,-0.004613565,-0.221691395,0.053443835,-0.190854125,0.07753035,-0.10438711,0.10173408,-0.05580117,0.102138985,-0.005752555,0.09689256,0.055506775,0.08589637,0.152089585,0.035486355,0.19297068,0.02501486,-0.02686765,-0.084357095,0.053466245,-0.041200445,0.109593265,-0.02497321,-0.14857252,-0.02232488,-0.07503303,-0.016720525,0.04398113,-0.01060855,0.14083302,0.00284282,-0.173529115,0.030164885,-0.11669863,0.03225983,-0.05192675,0.031289025,0.019884835,0.02740702,0.115997105,0.01812804,-0.090859305,0.080975225,-0.039114595,0.07084819,0.01956931,0.058845535,0.077627305,0.043819745,0.15292718,0.06288411,0.00250771,-0.039651085,4.282,-0.00128897528703304,-0.00063535143636861,-9.90839263151581e-05,-0.000765200812363548,-0.00100619931979281,-0.000133924019807667,-0.35282403350776
"16","fvw","M","1517","1","fvw_M_1_1517","fvw12","L",-0.054069745,-0.114129805,-0.22126755,-0.03153831,-0.24020602,0.01802146,-0.139636455,0.0943611,0.11843688,0.05831868,0.19253297,0.04455634,0.005240395,-0.05611591,0.001257375,-0.015159895,0.095407035,0.00115152,0.09413533,0.01730121,0.14879166,0.01806052,0.172501915,-0.01047463,0.196723775,-0.01850726,0.17685015,-0.06959513,0.142725745,-0.100587295,0.097336445,-0.11876233,0.048126525,-0.124962725,-0.00166333,-0.12243952,-0.097309425,-0.10440113,-0.143067525,-0.088929655,-0.18681602,-0.064417645,-0.236086885,-0.00681786,-0.221989425,0.053804305,-0.19015519,0.076786275,-0.103778265,0.099010195,-0.05564561,0.098796405,-0.006022055,0.093269955,0.05476304,0.082355225,0.15175777,0.035191115,0.19388762,0.02364271,-0.02945199,-0.080445195,0.05442969,-0.03748746,0.112730905,-0.02207361,-0.150242515,-0.018701885,-0.0758743,-0.01307148,0.04404089,-0.00899292,0.14197773,0.00250919,-0.176491105,0.02772996,-0.119035875,0.031630485,-0.05343665,0.03306483,0.019530655,0.029924415,0.116727915,0.017513285,-0.09100792,0.077053625,-0.03908854,0.068908955,0.019518725,0.05769718,0.077314445,0.042610925,0.15367548,0.06070695,0.001921315,-0.036365165,4.28325,-0.00199737956838113,-0.00128066188536929,-0.000184266113341914,-0.000400550240017499,-0.000669443573103574,-9.6220236569634e-05,-0.422112962305635
"17","fvw","M","1664","1","fvw_M_1_1664","fvw12","L",-0.05153428,-0.11358394,-0.22339363,-0.02965326,-0.23691994,0.02161639,-0.13842519,0.09528225,0.12124942,0.05850976,0.19232807,0.04653599,0.00505066,-0.05824071,-0.00097337,-0.01845424,0.0893422,0.00184144,0.08811679,0.01692585,0.14691896,0.02117622,0.17018022,-0.01035228,0.19759373,-0.01989907,0.17939726,-0.07077419,0.14458637,-0.1018942,0.09897686,-0.12079651,0.04921806,-0.12484628,-0.00056087,-0.12099594,-0.09682375,-0.10512359,-0.1435551,-0.09122957,-0.18822904,-0.06655121,-0.23508915,-0.00617634,-0.21977163,0.05215164,-0.18884105,0.07538029,-0.10323317,0.10120016,-0.05459614,0.10193041,-0.00460249,0.09599747,0.05634259,0.08386184,0.153139,0.03455137,0.19413656,0.02371888,-0.02712862,-0.08109145,0.05444061,-0.03796471,0.11127838,-0.02147523,-0.15198558,-0.02293955,-0.07803072,-0.0172854,0.04158141,-0.01064848,0.13950623,0.00207648,-0.17462558,0.02959468,-0.11801516,0.03293125,-0.05341656,0.03297496,0.01827672,0.02960829,0.11416766,0.01849482,-0.08885348,0.07989893,-0.0380687,0.06972236,0.01963352,0.05824195,0.07670601,0.04367767,0.15480278,0.06120297,-0.00029686,-0.03912814,3.988,-0.00141021487284233,-0.000746771509498597,-0.00011923735567441,-0.000698380255867481,-0.000947139771398775,-0.000128079154379844,-0.357634795176382
"18","fvw","M","1672","1","fvw_M_1_1672","fvw12","L",-0.052755,-0.11480486,-0.22257421,-0.03167889,-0.23727556,0.01743177,-0.13716095,0.09490474,0.12224204,0.06110446,0.19279782,0.04624297,0.00626777,-0.05465457,-0.00248242,-0.01549589,0.08712159,0.00029902,0.08670109,0.01823102,0.1489918,0.01711578,0.16651777,-0.01387409,0.19754578,-0.02232884,0.18049274,-0.07107006,0.14501642,-0.10149932,0.09904871,-0.11856909,0.04966175,-0.12356015,-0.00018772,-0.12151068,-0.09681692,-0.1066859,-0.1437704,-0.09257988,-0.18853205,-0.0674538,-0.23510802,-0.00656103,-0.21947286,0.05142996,-0.18868744,0.07468236,-0.10323487,0.10070567,-0.05458472,0.10206495,-0.00434629,0.09720477,0.05709743,0.08628925,0.15408244,0.03568133,0.19441379,0.02290445,-0.02972023,-0.08055394,0.05144788,-0.03730469,0.10827361,-0.02245413,-0.15196692,-0.02211769,-0.0783961,-0.01567822,0.0403567,-0.00852585,0.13856468,0.00102536,-0.17512524,0.02698739,-0.11828344,0.03197249,-0.05325497,0.03407312,0.01925644,0.03157329,0.11552951,0.01746313,-0.08787129,0.07912111,-0.03629495,0.07089289,0.02202916,0.05976636,0.07919353,0.04360969,0.15594929,0.06227712,-0.00069713,-0.03609291,3.3605,-0.00132451081435098,-0.0006435569535486,-9.91304904926999e-05,-0.000701192191000352,-0.000979734015897072,-0.000124207677652185,-0.343563100717546
